Age,Height,Sex_mapped,Overweight_Obese_Family_mapped,Consumption_of_Fast_Food_mapped,Frequency_of_Consuming_Vegetables_mapped,Number_of_Main_Meals_Daily_mapped,Food_Intake_Between_Meals_mapped,Smoking_mapped,Liquid_Intake_Daily_mapped,Calculation_of_Calorie_Intake_mapped,Physical_Excercise_mapped,Schedule_Dedicated_to_Technology_mapped,Type_of_Transportation_Used_mapped,Class_mapped
22,179,Male,No,No,Always,1 or 2 ,Usually,No,Between 1 and 2 Liters,No,3-4 days per week,3-5 hours per day,Public Transportation,Normal
23,171,Male,No,No,Always,1 or 2 ,Rarely,No,More than 2 Liters,No,No sports,3-5 hours per day,Motorbike,Normal
23,173,Male,No,No,Always,1 or 2 ,Usually,No,Less than 1 Liter,No,No sports,More than 5 hourse per day,Public Transportation,Normal
23,173,Male,No,Yes,Always,3,Rarely,Yes,More than 2 Liters,Yes,7 days per week,3-5 hours per day,Bike,Normal
23,174,Male,No,No,Always,1 or 2 ,Always,No,Less than 1 Liter,Yes,3-4 days per week,3-5 hours per day,Public Transportation,Normal
23,177,Male,Yes,No,Always,3,Rarely,Yes,Between 1 and 2 Liters,No,7 days per week,More than 5 hourse per day,Motorbike,Normal
23,180,Male,No,No,Always,1 or 2 ,Rarely,Yes,Between 1 and 2 Liters,No,1-2 days per week,3-5 hours per day,Public Transportation,Normal
23,184,Male,No,No,Always,1 or 2 ,Rarely,Yes,More than 2 Liters,No,3-4 days per week,1-2 hours per day,Bike,Normal
23,178,Male,Yes,No,Always,1 or 2 ,Rarely,No,More than 2 Liters,No,7 days per week,More than 5 hourse per day,Public Transportation,Normal
24,179,Male,No,No,Always,1 or 2 ,Usually,No,Between 1 and 2 Liters,No,3-4 days per week,More than 5 hourse per day,Public Transportation,Normal
24,175,Male,Yes,No,Rarely,3,Usually,No,Less than 1 Liter,No,No sports,3-5 hours per day,Public Transportation,Normal
24,169,Male,No,No,Always,1 or 2 ,Always,Yes,More than 2 Liters,No,1-2 days per week,3-5 hours per day,Public Transportation,Normal
24,183,Male,No,No,Always,1 or 2 ,Usually,Yes,More than 2 Liters,No,5-6 days per week,3-5 hours per day,Public Transportation,Normal
25,163,Male,No,No,Sometimes,3,Always,Yes,Less than 1 Liter,No,5-6 days per week,More than 5 hourse per day,Bike,Overweight
25,166,Male,No,No,Sometimes,3,Usually,No,Between 1 and 2 Liters,No,3-4 days per week,3-5 hours per day,Public Transportation,Normal
25,167,Male,No,No,Sometimes,1 or 2 ,Rarely,No,Less than 1 Liter,No,No sports,More than 5 hourse per day,Bike,Normal
25,167,Male,No,No,Sometimes,3,Sometimes,Yes,More than 2 Liters,No,1-2 days per week,3-5 hours per day,Public Transportation,Overweight
25,169,Male,Yes,Yes,Always,3,Rarely,Yes,Between 1 and 2 Liters,No,7 days per week,3-5 hours per day,Public Transportation,Normal
25,171,Male,Yes,No,Rarely,3,Rarely,Yes,More than 2 Liters,Yes,7 days per week,More than 5 hourse per day,Motorbike,Normal
25,173,Male,No,No,Sometimes,1 or 2 ,Rarely,Yes,Between 1 and 2 Liters,No,3-4 days per week,1-2 hours per day,Public Transportation,Normal
25,173,Male,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,1-2 days per week,3-5 hours per day,Walking,Overweight
25,175,Male,No,No,Always,1 or 2 ,Usually,No,Less than 1 Liter,No,No sports,3-5 hours per day,Public Transportation,Normal
25,175,Male,No,No,Sometimes,1 or 2 ,Rarely,No,Between 1 and 2 Liters,No,7 days per week,3-5 hours per day,Bike,Overweight
25,177,Male,No,No,Sometimes,3,Usually,No,Between 1 and 2 Liters,No,5-6 days per week,More than 5 hourse per day,Walking,Overweight
25,177,Male,No,Yes,Rarely,3,Rarely,Yes,Less than 1 Liter,Yes,7 days per week,More than 5 hourse per day,Motorbike,Obesity
25,179,Male,Yes,No,Rarely,1 or 2 ,Sometimes,No,Less than 1 Liter,Yes,1-2 days per week,3-5 hours per day,Public Transportation,Overweight
25,181,Male,No,No,Sometimes,1 or 2 ,Rarely,Yes,Between 1 and 2 Liters,No,3-4 days per week,3-5 hours per day,Public Transportation,Normal
25,183,Male,No,Yes,Rarely,3,Rarely,Yes,Between 1 and 2 Liters,No,7 days per week,3-5 hours per day,Public Transportation,Overweight
25,187,Male,Yes,No,Always,1 or 2 ,Always,Yes,Between 1 and 2 Liters,Yes,3-4 days per week,3-5 hours per day,Public Transportation,Overweight
25,191,Male,No,Yes,Sometimes,3,Rarely,Yes,Less than 1 Liter,Yes,1-2 days per week,More than 5 hourse per day,Public Transportation,Overweight
26,161,Male,No,Yes,Always,3,Rarely,Yes,More than 2 Liters,Yes,7 days per week,1-2 hours per day,Public Transportation,Overweight
26,164,Male,No,Yes,Sometimes,1 or 2 ,Rarely,Yes,Between 1 and 2 Liters,No,7 days per week,More than 5 hourse per day,Public Transportation,Normal
26,168,Male,No,No,Always,1 or 2 ,Usually,Yes,Between 1 and 2 Liters,No,No sports,3-5 hours per day,Public Transportation,Normal
26,169,Male,No,Yes,Always,3,Sometimes,Yes,More than 2 Liters,Yes,7 days per week,3-5 hours per day,Public Transportation,Normal
26,169,Male,No,No,Sometimes,1 or 2 ,Sometimes,No,Between 1 and 2 Liters,No,1-2 days per week,3-5 hours per day,Public Transportation,Normal
26,171,Male,No,No,Always,1 or 2 ,Always,No,Less than 1 Liter,No,No sports,3-5 hours per day,Public Transportation,Normal
26,173,Male,No,No,Rarely,3,Sometimes,No,Between 1 and 2 Liters,No,5-6 days per week,3-5 hours per day,Public Transportation,Overweight
26,173,Male,No,No,Sometimes,3,Sometimes,No,Less than 1 Liter,No,5-6 days per week,More than 5 hourse per day,Public Transportation,Overweight
26,173,Male,No,No,Sometimes,3,Rarely,No,More than 2 Liters,No,5-6 days per week,More than 5 hourse per day,Motorbike,Normal
26,175,Male,Yes,No,Always,1 or 2 ,Usually,Yes,Less than 1 Liter,No,3-4 days per week,More than 5 hourse per day,Public Transportation,Normal
26,180,Male,No,No,Sometimes,3,Rarely,Yes,More than 2 Liters,No,No sports,3-5 hours per day,Public Transportation,Normal
26,183,Male,Yes,No,Rarely,1 or 2 ,Sometimes,Yes,Between 1 and 2 Liters,Yes,1-2 days per week,3-5 hours per day,Public Transportation,Overweight
26,184,Male,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,No sports,3-5 hours per day,Walking,Overweight
27,168,Male,No,Yes,Always,1 or 2 ,Rarely,Yes,More than 2 Liters,No,5-6 days per week,3-5 hours per day,Public Transportation,Normal
27,170,Male,No,No,Sometimes,3,Rarely,Yes,More than 2 Liters,No,7 days per week,3-5 hours per day,Public Transportation,Normal
27,171,Male,No,No,Sometimes,1 or 2 ,Usually,No,Less than 1 Liter,No,3-4 days per week,3-5 hours per day,Public Transportation,Normal
27,171,Male,No,No,Sometimes,3,Always,No,More than 2 Liters,No,1-2 days per week,3-5 hours per day,Public Transportation,Normal
27,173,Male,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,3-4 days per week,More than 5 hourse per day,Public Transportation,Overweight
27,173,Male,No,No,Sometimes,1 or 2 ,Usually,No,More than 2 Liters,No,5-6 days per week,3-5 hours per day,Public Transportation,Overweight
27,175,Male,No,No,Sometimes,1 or 2 ,Rarely,No,Between 1 and 2 Liters,No,7 days per week,More than 5 hourse per day,Public Transportation,Normal
27,177,Male,No,No,Rarely,3,Rarely,Yes,Less than 1 Liter,No,7 days per week,3-5 hours per day,Motorbike,Overweight
27,179,Male,No,No,Sometimes,1 or 2 ,Usually,No,More than 2 Liters,No,No sports,3-5 hours per day,Public Transportation,Overweight
27,179,Male,No,No,Rarely,3,Sometimes,No,More than 2 Liters,No,7 days per week,More than 5 hourse per day,Public Transportation,Overweight
27,181,Male,Yes,No,Rarely,1 or 2 ,Sometimes,No,More than 2 Liters,No,No sports,3-5 hours per day,Public Transportation,Normal
27,186,Male,Yes,Yes,Always,1 or 2 ,Usually,No,More than 2 Liters,No,7 days per week,3-5 hours per day,Public Transportation,Overweight
28,171,Male,No,No,Sometimes,3,Rarely,Yes,More than 2 Liters,No,5-6 days per week,More than 5 hourse per day,Public Transportation,Normal
28,173,Male,No,No,Always,1 or 2 ,Usually,No,More than 2 Liters,No,7 days per week,1-2 hours per day,Motorbike,Normal
28,173,Male,No,No,Always,1 or 2 ,Rarely,Yes,Less than 1 Liter,No,7 days per week,More than 5 hourse per day,Public Transportation,Normal
28,173,Male,No,No,Rarely,3,Rarely,Yes,Less than 1 Liter,No,7 days per week,More than 5 hourse per day,Walking,Overweight
28,174,Male,No,No,Always,1 or 2 ,Usually,No,More than 2 Liters,No,1-2 days per week,More than 5 hourse per day,Public Transportation,Normal
28,175,Male,No,No,Rarely,3,Usually,No,More than 2 Liters,No,3-4 days per week,3-5 hours per day,Public Transportation,Normal
28,175,Male,No,No,Always,1 or 2 ,Always,No,More than 2 Liters,No,7 days per week,3-5 hours per day,Walking,Normal
28,179,Male,No,No,Sometimes,1 or 2 ,Usually,No,Less than 1 Liter,No,5-6 days per week,3-5 hours per day,Public Transportation,Overweight
28,181,Male,No,No,Rarely,3,Sometimes,No,More than 2 Liters,No,7 days per week,3-5 hours per day,Public Transportation,Overweight
29,165,Male,No,No,Rarely,3,Always,Yes,Less than 1 Liter,No,3-4 days per week,3-5 hours per day,Walking,Overweight
29,169,Male,Yes,No,Rarely,3,Sometimes,No,Less than 1 Liter,No,No sports,3-5 hours per day,Public Transportation,Normal
29,172,Male,No,No,Always,1 or 2 ,Rarely,No,Between 1 and 2 Liters,Yes,1-2 days per week,More than 5 hourse per day,Walking,Overweight
29,172,Male,No,No,Sometimes,3,Sometimes,Yes,Between 1 and 2 Liters,No,7 days per week,3-5 hours per day,Public Transportation,Normal
29,173,Male,No,No,Always,3,Rarely,Yes,More than 2 Liters,No,7 days per week,3-5 hours per day,Public Transportation,Normal
29,178,Male,No,No,Sometimes,3,Rarely,Yes,Less than 1 Liter,No,3-4 days per week,3-5 hours per day,Public Transportation,Overweight
29,179,Male,No,No,Sometimes,1 or 2 ,Usually,Yes,Between 1 and 2 Liters,No,5-6 days per week,1-2 hours per day,Public Transportation,Normal
29,179,Male,Yes,No,Always,3,Always,Yes,More than 2 Liters,No,1-2 days per week,3-5 hours per day,Public Transportation,Overweight
29,180,Male,No,No,Rarely,3,Rarely,No,Between 1 and 2 Liters,No,No sports,More than 5 hourse per day,Walking,Normal
29,182,Male,No,No,Always,1 or 2 ,Rarely,No,Less than 1 Liter,No,7 days per week,3-5 hours per day,Public Transportation,Normal
29,183,Male,No,No,Sometimes,1 or 2 ,Rarely,Yes,Less than 1 Liter,No,3-4 days per week,3-5 hours per day,Public Transportation,Overweight
30,165,Male,No,Yes,Always,3,Always,No,More than 2 Liters,No,No sports,3-5 hours per day,Public Transportation,Overweight
30,168,Male,No,No,Sometimes,1 or 2 ,Sometimes,No,Between 1 and 2 Liters,Yes,1-2 days per week,1-2 hours per day,Public Transportation,Overweight
30,168,Male,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,5-6 days per week,3-5 hours per day,Public Transportation,Overweight
30,169,Male,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,5-6 days per week,3-5 hours per day,Public Transportation,Overweight
30,171,Male,No,No,Sometimes,1 or 2 ,Sometimes,No,Less than 1 Liter,No,5-6 days per week,3-5 hours per day,Public Transportation,Normal
30,172,Male,No,No,Sometimes,1 or 2 ,Sometimes,No,More than 2 Liters,No,3-4 days per week,3-5 hours per day,Motorbike,Overweight
30,174,Male,No,No,Sometimes,1 or 2 ,Sometimes,No,Less than 1 Liter,No,1-2 days per week,3-5 hours per day,Public Transportation,Normal
30,174,Male,No,No,Rarely,3,Rarely,Yes,Less than 1 Liter,No,7 days per week,More than 5 hourse per day,Walking,Overweight
30,173,Male,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,3-4 days per week,3-5 hours per day,Public Transportation,Overweight
30,177,Male,No,No,Sometimes,1 or 2 ,Usually,No,Between 1 and 2 Liters,No,1-2 days per week,3-5 hours per day,Public Transportation,Overweight
30,180,Male,No,No,Always,3,Usually,No,Between 1 and 2 Liters,No,3-4 days per week,3-5 hours per day,Automobile,Normal
30,181,Male,No,No,Always,1 or 2 ,Usually,No,More than 2 Liters,No,5-6 days per week,More than 5 hourse per day,Public Transportation,Normal
30,182,Male,Yes,No,Rarely,3,Rarely,Yes,Between 1 and 2 Liters,Yes,7 days per week,3-5 hours per day,Automobile,Normal
30,185,Male,No,No,Rarely,3,Rarely,No,More than 2 Liters,No,3-4 days per week,1-2 hours per day,Automobile,Normal
31,171,Male,Yes,No,Sometimes,3,Sometimes,No,Less than 1 Liter,Yes,3-4 days per week,3-5 hours per day,Motorbike,Obesity
31,171,Male,No,No,Sometimes,3,Always,No,More than 2 Liters,No,No sports,3-5 hours per day,Automobile,Normal
31,172,Male,No,No,Always,3,Always,No,Less than 1 Liter,No,1-2 days per week,3-5 hours per day,Public Transportation,Overweight
31,173,Male,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,3-4 days per week,3-5 hours per day,Automobile,Overweight
31,173,Male,No,No,Sometimes,3,Always,No,More than 2 Liters,No,5-6 days per week,3-5 hours per day,Public Transportation,Overweight
31,175,Male,No,No,Always,1 or 2 ,Usually,No,Between 1 and 2 Liters,No,No sports,3-5 hours per day,Automobile,Normal
31,175,Male,No,No,Always,1 or 2 ,Usually,Yes,Between 1 and 2 Liters,No,3-4 days per week,1-2 hours per day,Walking,Normal
31,175,Male,No,No,Always,1 or 2 ,Usually,No,Between 1 and 2 Liters,No,5-6 days per week,1-2 hours per day,Automobile,Normal
31,176,Male,No,No,Rarely,3,Usually,Yes,More than 2 Liters,No,5-6 days per week,3-5 hours per day,Public Transportation,Normal
32,173,Male,No,No,Sometimes,1 or 2 ,Usually,No,Less than 1 Liter,No,3-4 days per week,3-5 hours per day,Public Transportation,Normal
32,175,Male,No,No,Sometimes,1 or 2 ,Usually,Yes,More than 2 Liters,No,No sports,3-5 hours per day,Automobile,Normal
32,175,Male,No,No,Rarely,3,Rarely,No,More than 2 Liters,No,5-6 days per week,More than 5 hourse per day,Walking,Normal
32,179,Male,No,No,Sometimes,3,Rarely,No,More than 2 Liters,Yes,3-4 days per week,3-5 hours per day,Automobile,Overweight
32,179,Male,No,No,Always,1 or 2 ,Usually,No,Less than 1 Liter,No,1-2 days per week,More than 5 hourse per day,Automobile,Overweight
32,181,Male,Yes,No,Sometimes,1 or 2 ,Always,No,Between 1 and 2 Liters,No,1-2 days per week,3-5 hours per day,Public Transportation,Overweight
32,181,Male,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,3-4 days per week,3-5 hours per day,Public Transportation,Overweight
32,183,Male,Yes,No,Always,3,Usually,No,Less than 1 Liter,No,7 days per week,More than 5 hourse per day,Automobile,Overweight
32,185,Male,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,Yes,5-6 days per week,3-5 hours per day,Motorbike,Overweight
32,188,Male,No,Yes,Always,3,Sometimes,Yes,Less than 1 Liter,No,No sports,3-5 hours per day,Public Transportation,Overweight
33,169,Male,No,No,Sometimes,3,Sometimes,No,Between 1 and 2 Liters,No,3-4 days per week,3-5 hours per day,Automobile,Overweight
33,174,Male,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,7 days per week,3-5 hours per day,Public Transportation,Overweight
33,174,Male,No,No,Sometimes,1 or 2 ,Usually,No,More than 2 Liters,No,1-2 days per week,1-2 hours per day,Automobile,Overweight
33,175,Male,No,No,Always,3,Always,No,Less than 1 Liter,No,3-4 days per week,3-5 hours per day,Automobile,Overweight
33,177,Male,No,No,Sometimes,3,Sometimes,No,Less than 1 Liter,No,7 days per week,3-5 hours per day,Public Transportation,Overweight
33,178,Male,No,No,Sometimes,3,Always,No,More than 2 Liters,No,1-2 days per week,3-5 hours per day,Automobile,Normal
33,178,Male,No,Yes,Rarely,1 or 2 ,Rarely,Yes,Between 1 and 2 Liters,No,7 days per week,3-5 hours per day,Motorbike,Normal
33,180,Male,No,No,Sometimes,3,Usually,No,Less than 1 Liter,No,5-6 days per week,3-5 hours per day,Automobile,Overweight
33,165,Male,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,3-4 days per week,3-5 hours per day,Automobile,Overweight
33,169,Male,No,No,Sometimes,3,Sometimes,Yes,More than 2 Liters,No,7 days per week,3-5 hours per day,Walking,Overweight
33,168,Male,No,Yes,Sometimes,3,Usually,No,Less than 1 Liter,Yes,5-6 days per week,More than 5 hourse per day,Automobile,Overweight
34,165,Male,No,No,Rarely,3,Sometimes,No,Less than 1 Liter,No,1-2 days per week,3-5 hours per day,Motorbike,Overweight
34,168,Male,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,1-2 days per week,3-5 hours per day,Automobile,Overweight
34,169,Male,No,No,Sometimes,3,Sometimes,No,Between 1 and 2 Liters,No,No sports,3-5 hours per day,Public Transportation,Overweight
34,172,Male,No,No,Sometimes,3,Always,No,Between 1 and 2 Liters,No,5-6 days per week,3-5 hours per day,Public Transportation,Overweight
34,175,Male,No,No,Sometimes,3,Sometimes,No,Between 1 and 2 Liters,No,No sports,3-5 hours per day,Automobile,Normal
34,175,Male,No,No,Sometimes,3,Usually,No,More than 2 Liters,No,1-2 days per week,3-5 hours per day,Walking,Normal
34,177,Male,No,No,Always,1 or 2 ,Always,Yes,More than 2 Liters,No,1-2 days per week,More than 5 hourse per day,Automobile,Overweight
34,179,Male,No,No,Sometimes,1 or 2 ,Always,No,More than 2 Liters,No,5-6 days per week,3-5 hours per day,Motorbike,Overweight
35,168,Male,No,No,Sometimes,3,Sometimes,No,Less than 1 Liter,No,1-2 days per week,3-5 hours per day,Automobile,Overweight
35,172,Male,No,No,Sometimes,3,Always,No,More than 2 Liters,No,No sports,1-2 hours per day,Public Transportation,Overweight
35,174,Male,No,No,Always,3,Rarely,No,More than 2 Liters,No,1-2 days per week,More than 5 hourse per day,Automobile,Overweight
35,174,Male,No,Yes,Sometimes,3,Rarely,Yes,Between 1 and 2 Liters,No,1-2 days per week,3-5 hours per day,Public Transportation,Overweight
35,177,Male,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,3-4 days per week,3-5 hours per day,Automobile,Overweight
35,179,Male,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,1-2 days per week,3-5 hours per day,Public Transportation,Overweight
35,179,Male,No,No,Sometimes,3,Usually,No,More than 2 Liters,No,5-6 days per week,3-5 hours per day,Automobile,Overweight
35,161,Male,No,No,Rarely,3,Sometimes,No,Less than 1 Liter,No,3-4 days per week,3-5 hours per day,Automobile,Overweight
35,184,Male,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,3-4 days per week,3-5 hours per day,Public Transportation,Overweight
36,165,Male,No,Yes,Rarely,3,Rarely,Yes,Less than 1 Liter,Yes,7 days per week,More than 5 hourse per day,Public Transportation,Overweight
36,166,Male,No,No,Sometimes,3,Usually,No,Less than 1 Liter,No,5-6 days per week,3-5 hours per day,Automobile,Overweight
36,169,Male,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,3-4 days per week,3-5 hours per day,Public Transportation,Overweight
36,172,Male,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,3-4 days per week,3-5 hours per day,Public Transportation,Overweight
36,175,Male,No,No,Rarely,3,Sometimes,No,More than 2 Liters,No,1-2 days per week,3-5 hours per day,Automobile,Overweight
36,177,Male,Yes,Yes,Rarely,3,Rarely,Yes,Between 1 and 2 Liters,Yes,7 days per week,More than 5 hourse per day,Public Transportation,Obesity
36,180,Male,Yes,Yes,Always,3,Always,No,More than 2 Liters,No,3-4 days per week,3-5 hours per day,Public Transportation,Overweight
36,184,Male,Yes,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,1-2 days per week,3-5 hours per day,Automobile,Overweight
37,169,Male,No,No,Rarely,3,Sometimes,No,More than 2 Liters,No,No sports,1-2 hours per day,Walking,Normal
37,171,Male,No,No,Sometimes,1 or 2 ,Rarely,No,More than 2 Liters,No,3-4 days per week,More than 5 hourse per day,Automobile,Normal
37,171,Male,No,Yes,Always,3,Always,No,Between 1 and 2 Liters,No,7 days per week,3-5 hours per day,Automobile,Overweight
37,173,Male,No,Yes,Rarely,3,Rarely,No,Less than 1 Liter,No,5-6 days per week,More than 5 hourse per day,Public Transportation,Overweight
37,175,Male,No,No,Sometimes,3,Sometimes,No,Less than 1 Liter,No,No sports,3-5 hours per day,Automobile,Overweight
37,177,Male,No,Yes,Rarely,3,Sometimes,Yes,Less than 1 Liter,Yes,5-6 days per week,3-5 hours per day,Public Transportation,Overweight
37,179,Male,No,Yes,Rarely,3,Rarely,Yes,More than 2 Liters,Yes,1-2 days per week,3-5 hours per day,Automobile,Overweight
37,181,Male,No,No,Always,3,Always,No,Between 1 and 2 Liters,No,3-4 days per week,More than 5 hourse per day,Public Transportation,Overweight
37,183,Male,No,Yes,Always,3,Rarely,Yes,More than 2 Liters,No,7 days per week,3-5 hours per day,Public Transportation,Overweight
37,167,Male,No,Yes,Sometimes,3,Sometimes,No,More than 2 Liters,No,7 days per week,More than 5 hourse per day,Automobile,Overweight
37,172,Male,No,No,Always,3,Usually,No,More than 2 Liters,No,3-4 days per week,3-5 hours per day,Automobile,Overweight
38,165,Male,No,Yes,Sometimes,3,Sometimes,No,Less than 1 Liter,No,7 days per week,3-5 hours per day,Automobile,Overweight
38,169,Male,No,Yes,Sometimes,3,Usually,No,More than 2 Liters,No,7 days per week,3-5 hours per day,Public Transportation,Overweight
38,174,Male,No,Yes,Sometimes,3,Sometimes,No,Between 1 and 2 Liters,No,3-4 days per week,3-5 hours per day,Automobile,Overweight
38,177,Male,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,7 days per week,3-5 hours per day,Motorbike,Overweight
38,171,Male,Yes,Yes,Sometimes,3,Sometimes,No,Between 1 and 2 Liters,Yes,5-6 days per week,3-5 hours per day,Automobile,Overweight
38,161,Male,No,Yes,Sometimes,3,Sometimes,Yes,Less than 1 Liter,No,7 days per week,1-2 hours per day,Automobile,Overweight
38,168,Male,Yes,Yes,Always,3,Rarely,No,More than 2 Liters,Yes,7 days per week,More than 5 hourse per day,Public Transportation,Overweight
38,176,Male,No,No,Rarely,3,Usually,No,Less than 1 Liter,No,7 days per week,3-5 hours per day,Public Transportation,Normal
39,164,Male,No,No,Rarely,3,Usually,No,More than 2 Liters,No,1-2 days per week,3-5 hours per day,Automobile,Normal
39,169,Male,No,No,Always,3,Always,Yes,Less than 1 Liter,No,7 days per week,3-5 hours per day,Public Transportation,Overweight
39,172,Male,No,Yes,Sometimes,3,Usually,No,Between 1 and 2 Liters,No,7 days per week,1-2 hours per day,Public Transportation,Overweight
39,174,Male,No,Yes,Rarely,3,Sometimes,No,More than 2 Liters,No,7 days per week,1-2 hours per day,Motorbike,Overweight
39,175,Male,No,Yes,Always,3,Usually,No,Between 1 and 2 Liters,No,7 days per week,3-5 hours per day,Automobile,Overweight
39,177,Male,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,5-6 days per week,1-2 hours per day,Public Transportation,Overweight
39,179,Male,No,Yes,Sometimes,3,Sometimes,No,Between 1 and 2 Liters,No,1-2 days per week,1-2 hours per day,Public Transportation,Overweight
39,181,Male,Yes,No,Rarely,3,Sometimes,No,More than 2 Liters,No,5-6 days per week,3-5 hours per day,Automobile,Overweight
39,188,Male,No,Yes,Rarely,3,Sometimes,No,More than 2 Liters,No,5-6 days per week,3-5 hours per day,Public Transportation,Overweight
39,176,Male,No,No,Rarely,3,Rarely,No,More than 2 Liters,No,3-4 days per week,More than 5 hourse per day,Automobile,Overweight
40,171,Male,No,Yes,Sometimes,3,Sometimes,No,Between 1 and 2 Liters,No,1-2 days per week,3-5 hours per day,Motorbike,Overweight
40,174,Male,Yes,Yes,Rarely,1 or 2 ,Always,No,Less than 1 Liter,No,7 days per week,1-2 hours per day,Automobile,Overweight
40,174,Male,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,3-4 days per week,3-5 hours per day,Public Transportation,Overweight
40,176,Male,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,5-6 days per week,1-2 hours per day,Automobile,Overweight
40,177,Male,Yes,No,Rarely,1 or 2 ,Usually,Yes,Less than 1 Liter,No,7 days per week,1-2 hours per day,Walking,Overweight
40,178,Male,No,No,Rarely,3,Always,Yes,Less than 1 Liter,No,5-6 days per week,3-5 hours per day,Automobile,Overweight
40,179,Male,Yes,No,Always,1 or 2 ,Always,Yes,Between 1 and 2 Liters,No,1-2 days per week,3-5 hours per day,Public Transportation,Overweight
41,166,Male,No,Yes,Sometimes,3,Sometimes,No,More than 2 Liters,No,5-6 days per week,More than 5 hourse per day,Automobile,Overweight
41,168,Male,No,No,Always,3,Always,No,Between 1 and 2 Liters,No,No sports,3-5 hours per day,Automobile,Normal
41,169,Male,No,No,Sometimes,3,Always,Yes,Between 1 and 2 Liters,No,3-4 days per week,3-5 hours per day,Automobile,Overweight
41,171,Male,No,Yes,Always,3,Usually,Yes,Between 1 and 2 Liters,Yes,7 days per week,3-5 hours per day,Motorbike,Overweight
41,173,Male,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,5-6 days per week,1-2 hours per day,Automobile,Overweight
41,174,Male,No,Yes,Sometimes,3,Rarely,Yes,Less than 1 Liter,No,7 days per week,More than 5 hourse per day,Public Transportation,Overweight
41,174,Male,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,3-4 days per week,3-5 hours per day,Automobile,Overweight
41,178,Male,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,1-2 days per week,1-2 hours per day,Public Transportation,Overweight
42,162,Male,No,Yes,Rarely,3,Sometimes,No,Less than 1 Liter,Yes,3-4 days per week,3-5 hours per day,Automobile,Overweight
42,165,Male,No,No,Sometimes,3,Sometimes,No,More than 2 Liters,No,3-4 days per week,1-2 hours per day,Public Transportation,Overweight
42,167,Male,No,No,Always,1 or 2 ,Rarely,Yes,Less than 1 Liter,No,1-2 days per week,3-5 hours per day,Automobile,Normal
42,168,Male,No,No,Sometimes,1 or 2 ,Sometimes,No,Between 1 and 2 Liters,No,3-4 days per week,3-5 hours per day,Walking,Normal
42,172,Male,Yes,No,Rarely,3,Sometimes,No,Less than 1 Liter,No,5-6 days per week,1-2 hours per day,Automobile,Normal
42,172,Male,Yes,No,Always,1 or 2 ,Usually,Yes,More than 2 Liters,No,No sports,3-5 hours per day,Motorbike,Normal
42,174,Male,No,No,Rarely,3,Rarely,No,More than 2 Liters,No,7 days per week,More than 5 hourse per day,Motorbike,Overweight
42,174,Male,No,No,Always,3,Usually,No,Between 1 and 2 Liters,No,7 days per week,1-2 hours per day,Walking,Overweight
42,176,Male,No,No,Rarely,3,Sometimes,No,Less than 1 Liter,No,3-4 days per week,3-5 hours per day,Public Transportation,Overweight
43,165,Male,No,No,Sometimes,3,Sometimes,No,Between 1 and 2 Liters,No,1-2 days per week,3-5 hours per day,Public Transportation,Overweight
43,177,Male,No,No,Always,3,Usually,No,Less than 1 Liter,Yes,1-2 days per week,1-2 hours per day,Motorbike,Overweight
43,179,Male,No,Yes,Sometimes,3,Rarely,No,Less than 1 Liter,No,5-6 days per week,1-2 hours per day,Automobile,Overweight
43,180,Male,No,Yes,Sometimes,3,Sometimes,No,More than 2 Liters,Yes,7 days per week,3-5 hours per day,Automobile,Overweight
43,182,Male,Yes,Yes,Rarely,3,Rarely,Yes,Between 1 and 2 Liters,Yes,3-4 days per week,More than 5 hourse per day,Automobile,Overweight
43,185,Male,Yes,Yes,Rarely,3,Sometimes,No,More than 2 Liters,Yes,5-6 days per week,1-2 hours per day,Automobile,Overweight
